,angulo,seno
0,0.0,0.5
1,0.01,0.505
2,0.02,0.51
3,0.03,0.515
4,0.04,0.51999
5,0.05,0.52499
6,0.06,0.52998
7,0.07,0.53497
8,0.08,0.53996
9,0.09,0.54494
10,0.1,0.54992
11,0.11,0.55489
12,0.12,0.55986
13,0.13,0.56482
14,0.14,0.56977
15,0.15,0.57472
16,0.16,0.57966
17,0.17,0.58459
18,0.18,0.58951
19,0.19,0.59443
20,0.2,0.59933
21,0.21,0.60423
22,0.22,0.60911
23,0.23,0.61399
24,0.24,0.61885
25,0.25,0.6237
26,0.26,0.62854
27,0.27,0.63337
28,0.28,0.63818
29,0.29,0.64298
30,0.3,0.64776
31,0.31,0.65253
32,0.32,0.65728
33,0.33,0.66202
34,0.34,0.66674
35,0.35,0.67145
36,0.36,0.67614
37,0.37,0.68081
38,0.38,0.68546
39,0.39,0.69009
40,0.4,0.69471
41,0.41,0.6993
42,0.42,0.70388
43,0.43,0.70844
44,0.44,0.71297
45,0.45,0.71748
46,0.46,0.72197
47,0.47,0.72644
48,0.48,0.73089
49,0.49,0.73531
50,0.5,0.73971
51,0.51,0.74409
52,0.52,0.74844
53,0.53,0.75277
54,0.54,0.75707
55,0.55,0.76134
56,0.56,0.76559
57,0.57,0.76982
58,0.58,0.77401
59,0.59,0.77818
60,0.6,0.78232
61,0.61,0.78643
62,0.62,0.79052
63,0.63,0.79457
64,0.64,0.7986
65,0.65,0.80259
66,0.66,0.80656
67,0.67,0.81049
68,0.68,0.8144
69,0.69,0.81827
70,0.7,0.82211
71,0.71,0.82592
72,0.72,0.82969
73,0.73,0.83343
74,0.74,0.83714
75,0.75,0.84082
76,0.76,0.84446
77,0.77,0.84807
78,0.78,0.85164
79,0.79,0.85518
80,0.8,0.85868
81,0.81,0.86214
82,0.82,0.86557
83,0.83,0.86897
84,0.84,0.87232
85,0.85,0.87564
86,0.86,0.87892
87,0.87,0.88216
88,0.88,0.88537
89,0.89,0.88854
90,0.9,0.89166
91,0.91,0.89475
92,0.92,0.8978
93,0.93,0.90081
94,0.94,0.90378
95,0.95,0.90671
96,0.96,0.9096
97,0.97,0.91244
98,0.98,0.91525
99,0.99,0.91801
100,1.0,0.92074
101,1.01,0.92342
102,1.02,0.92605
103,1.03,0.92865
104,1.04,0.9312
105,1.05,0.93371
106,1.06,0.93618
107,1.07,0.9386
108,1.08,0.94098
109,1.09,0.94331
110,1.1,0.9456
111,1.11,0.94785
112,1.12,0.95005
113,1.13,0.95221
114,1.14,0.95432
115,1.15,0.95638
116,1.16,0.9584
117,1.17,0.96038
118,1.18,0.9623
119,1.19,0.96418
120,1.2,0.96602
121,1.21,0.96781
122,1.22,0.96955
123,1.23,0.97124
124,1.24,0.97289
125,1.25,0.97449
126,1.26,0.97605
127,1.27,0.97755
128,1.28,0.97901
129,1.29,0.98042
130,1.3,0.98178
131,1.31,0.98309
132,1.32,0.98436
133,1.33,0.98557
134,1.34,0.98674
135,1.35,0.98786
136,1.36,0.98893
137,1.37,0.98995
138,1.38,0.99093
139,1.39,0.99185
140,1.4,0.99272
141,1.41,0.99355
142,1.42,0.99433
143,1.43,0.99505
144,1.44,0.99573
145,1.45,0.99636
146,1.46,0.99693
147,1.47,0.99746
148,1.48,0.99794
149,1.49,0.99837
150,1.5,0.99875
151,1.51,0.99908
152,1.52,0.99936
153,1.53,0.99958
154,1.54,0.99976
155,1.55,0.99989
156,1.56,0.99997
157,1.57,1.0
158,1.58,0.99998
159,1.59,0.99991
160,1.6,0.99979
161,1.61,0.99962
162,1.62,0.99939
163,1.63,0.99912
164,1.64,0.9988
165,1.65,0.99843
166,1.66,0.99801
167,1.67,0.99754
168,1.68,0.99702
169,1.69,0.99645
170,1.7,0.99583
171,1.71,0.99516
172,1.72,0.99444
173,1.73,0.99368
174,1.74,0.99286
175,1.75,0.99199
176,1.76,0.99108
177,1.77,0.99011
178,1.78,0.9891
179,1.79,0.98804
180,1.8,0.98692
181,1.81,0.98576
182,1.82,0.98455
183,1.83,0.9833
184,1.84,0.98199
185,1.85,0.98064
186,1.86,0.97924
187,1.87,0.97779
188,1.88,0.97629
189,1.89,0.97474
190,1.9,0.97315
191,1.91,0.97151
192,1.92,0.96982
193,1.93,0.96809
194,1.94,0.96631
195,1.95,0.96448
196,1.96,0.96261
